,title,pers,extracted_names
0,(P. Vergili Maronis). Epigrammata et Priapea. Édition critique et explicative par E. Galletier,"['P. Vergili Maronis', 'Épigrammata', 'Galletier', 'Suétone', 'Virgile', 'Domitien', 'Néron', 'Birt, Gubernatis', 'Vili', 'Ite hinc', 'Catulle', 'Sabinus Me', 'Varius', 'Octavius', 'Corinthiorum', 'Racine', 'Birt', 'Gubernatis', 'René Pichon']",René Pichon
1,"Service des Antiquités de l'Égypte. Fouilles à Saqqarah. Le Mastabat-Faraoun,par G. Jéquier, avec la collaboration de Dows Dunham","['Jéquier', 'Mariette', 'Lepsius', 'Maspero', 'Ouserkaf', 'Toutânkhamon', 'Pépi II', 'Etienne Drioton']",Etienne Drioton 
2,A Lexicon to Josephus,"['Kohut Memorial fondation', 'Geuthner', 'Alexandre Kohut', 'Gadbury', 'Josèphe', 'Thackeray', 'Leisegang', 'Philon', 'Théodore Reinach', 'Thucydide', 'Aimé Puech']",Aimé Puech
3,Accademie e cultura. Aspetti storici tra Sei e Settecento,"['L. S. Olschki', 'Muratori', 'Bruno Neveu', 'Innocent XI', 'Favoriti', 'Mabillon', 'Casoni', 'Paolo Golinelli', 'Benedetto Bacchini ed il VI', 'Alberto Vecchi', 'Mme Anna Burlini', 'Lamindo Pritanio', 'Bernardo Trevisan', 'Clément XI', 'Mme Michela Nichetti Spanio', 'Delia', 'Ricovrati', 'Silvano Benedetti', 'Angelo Turchini', 'Mme Meri Bego', 'Mme Catia Roberti', 'Anton Francesco Marsigli', 'Luigi Ferdinando', 'Mme Maddalena Lanaro', 'Almorò Albrizzi', 'Françoise Waquet']",Françoise Waquet
4,"Actes de l'Athos. V. Actes de Chilandar. — I. Actes grecs, par le R. P. Louis Petit. II. Actes slaves, par B. Korablev. Suppléments aux Vizantijshij Vremennik, tomes XVII et XIX","['Chilandar', 'Etienne Nemanya', 'Siméon', 'Savas', 'Alexis III', 'Michel VIII', 'Etienne Douchan', 'Ivan le Terrible', 'Pierre le Grand', 'Louis Bréhier']",Louis Bréhier
5,Actes du Congrès international d'histoire des Religions tenu à Paris en octobre 1923,"['Homolle', 'Edouard Naville', 'Zielinski', 'R. Pettazzoni', 'Edmond Pottier', 'René Dussaud', 'L. Dorison', 'P. Teissonnière', 'A. Van Gennep', 'Saint Antoine', 'F. Sartiaux', 'R. Kreglinger', 'C. Schuwer', 'H. Bernoulli', 'P. Saintyves', 'Josué', 'V. Bugiel', 'G. Bergner', 'C. Toussaint', 'A. C. Kruyt', 'S. Czarnowski', 'Dr P. Rivet', 'E. Naville', 'G. Poisson', 'Dr G. Contenau', 'H. Ingholt', 'L. de Saussure', 'S. Reinach', 'Mayer Lambert', 'R. Dussaud', 'Sennacherib', 'Ezéchias', 'Max Haller Deuterozacharie', 'D. Berman', 'Julien Weill', 'A. Loisy', 'A. Gausse', 'A. Danon', 'Abraham', 'Héraclès', 'Samson', 'B. Heller', 'P. Oltremare', 'P. Masson-Oursel', 'Viconographie', 'H. Akamatsu', 'Vacher', 'W. Vollgraff', 'Péan delphique', 'Dionysos', 'André Boulanger', 'Milojé', 'Euripide', 'P. Oltramare', 'Auguste', 'H. Jeanmaire', 'Antoine', 'A. Bayet', 'Jan St. Bystron', 'XL G. A. Bernoulli', 'Maurice Goguel', 'P. Durville', 'Daniel', 'P. L. Gouchoud', 'P. Alfaric', 'Faye', 'H. Pernot', 'R. Génestal', 'G. W Goopland', 'Jean de Legnano', 'Marc Bloch', 'Roi Salomon', 'Mme L. Loukidès', 'P. Alphandéry', 'Erasme', 'Jésus', 'Pascal', 'L. Massignon', 'B. Nikitine', 'Henri Basset', 'Ihn Toumert', 'Keuprulu', 'Yat', 'G. Ferrand']",H. D
6,"Actes du XIIIe Congrès international des Orientalistes. Leiden 7-12 septembre 1931. Leyde, Brill, 1932","['Brill', 'Snouck Hurgronge']",H. D
7,Ajuntament de Barcelona. Publicaciones historiques. Recull de documents i estudis. Arxiu municipal historic,"['Dietari', 'Ramon Berenger I', 'Muntaner', 'Pierre Paris', 'A. Morel-Fatio']",A. Morel-Fatio
8,"Album de paléographie et de diplomatique, facsimilés phototypiques de documents relatifs à l'histoire du midi de la France, et en particulier de la ville de Toulouse, publiés par François Galabert et reproduits par Clovis Lassalle","['Galabert', 'Clovis Lassalle', 'Lassalle', 'Henri I', 'Lothaire', 'Conrad le Pacifique', 'Eudes de Salvagnac', 'Adémare', 'Philippe le Bel', 'Louis Hutin', 'Rodberlo regc', 'Robert', 'Hugues Gapet', 'Rotberto rege', 'Louis IV', 'Vili', 'Henri Icl', 'Henri Ier', 'Januarii', 'Urbain II', 'Alphonse Jourdain', 'Raimond Roger', 'Eudes de Montaut', 'Innocent III', 'Elie Beugkiì', 'Giovanni Siouza', 'Giuseppe Gai', 'Carteggio dì']",Elie Beugkiì
9,An Exultet Roll.,"['J. P. Gilson', 'Emile Bertaux', 'André Michel', 'J. P Gilson']",A. de L aborde
